Plot,X,Y,species_richness,Shannon,Inv_Simpson,nr_trees,richness/ha,tree_perha
303,421936.3335,9501373.199,14,2.291707077,7.543640898,55,198.0594847,778.0908329
305,422986.3335,9499973.199,9,1.250206399,2.121059269,58,127.3239545,820.5321511
307,419840,9497171,17,2.400462226,7.393501805,64,240.5008029,905.4147874
309,420886.335,9499973.199,9,1.562800039,3.084337349,32,127.3239545,452.7073937
314,422286.3335,9501373.199,15,2.110538062,4.91002045,49,212.2065908,693.2081966
316,424386.3335,9499973.199,2,0.079487003,1.031242372,65,28.29421211,919.5618934
317,424036.3335,9499973.199,1,0,1,59,14.14710605,834.6792571
320,422986.3335,9501373.199,21,2.792423219,12.44571429,66,297.0892271,933.7089995
322,423336.3335,9499973.199,18,2.409770444,7.401459854,78,254.6479089,1103.474272
323,420890,9497178,13,1.961609011,4.642570281,68,183.9123787,962.0032116
325,421936.3335,9499973.199,25,2.90918261,12.94470046,53,353.6776513,749.7966208
327,422636.3335,9501373.199,24,2.925018314,15.25396825,62,339.5305453,877.1205753
328,422986.3335,9504873.199,25,2.917491434,14.0516129,66,353.6776513,933.7089995
332,421236.3335,9499973.199,14,2.325382541,8.142028986,53,198.0594847,749.7966208
334,420540,9501368,17,2.336282116,6.954345917,89,240.5008029,1259.092439
335,421586.3335,9499973.199,30,3.202972693,20.79039301,69,424.4131816,976.1503176
336,423336.3335,9504873.199,42,3.369999072,20.50298686,131,594.1784542,1853.270893
339,421247,9497160,7,1.562920577,3.470254958,35,99.02974237,495.1487118
344,423686.3335,9504873.199,20,2.623180811,10.41428571,54,282.9421211,763.9437268
345,420186,9497164,18,2.548901939,10.40963855,72,254.6479089,1018.591636
348,420539,9497171,6,1.14400824,2.255985267,35,84.88263632,495.1487118
1,424608,9496320,20,2.692341828,11.36486486,58,282.9421211,820.5321511
2,424968,9496320,17,2.292955959,5.649616368,47,240.5008029,664.9139845
7,421728,9497040,17,2.444906952,8.812658228,59,240.5008029,834.6792571
8,422088,9497040,10,1.220216224,2.037810945,64,141.4710605,905.4147874
9,422448,9497040,9,1.855584642,5.090909091,28,127.3239545,396.1189695
10,422808,9497040,20,2.413641286,7.28030303,62,282.9421211,877.1205753
11,423168,9497040,19,2.410842223,6.312359551,53,268.795015,749.7966208
12,423528,9497040,13,2.147297256,6.515254237,62,183.9123787,877.1205753
13,423888,9497040,14,2.401805481,9.174603175,34,198.0594847,481.0016058
14,424248,9497040,9,1.732263262,4.231404959,32,127.3239545,452.7073937
15,424608,9497040,14,2.216363233,6.681818182,42,198.0594847,594.1784542
16,424968,9497040,25,2.721650465,8.880668258,61,353.6776513,862.9734692
17,425328,9497040,20,2.523149627,8.368159204,58,282.9421211,820.5321511
41,416328,9498480,17,2.55628592,9.586956522,42,240.5008029,594.1784542
42,416688,9498480,15,2.366669091,7.945945946,42,212.2065908,594.1784542
43,423528,9497400,13,1.792390818,3.362889984,64,183.9123787,905.4147874
44,417408,9498480,21,2.903982462,16.13333333,44,297.0892271,622.4726663
45,417768,9498480,16,2.648481132,12.6984127,40,226.3536968,565.8842421
46,424608,9497400,12,2.217465061,7.21192053,33,169.7652726,466.8544997
